anio,sexo,grupo_edad,defunciones
2015,1,00-14,396
2016,1,00-14,451
2017,1,00-14,438
2018,1,00-14,478
2019,1,00-14,453
2020,1,00-14,430
2021,1,00-14,459
2022,1,00-14,436
2023,1,00-14,451
2024,1,00-14,446
2015,2,00-14,294
2016,2,00-14,288
2017,2,00-14,263
2018,2,00-14,297
2019,2,00-14,292
2020,2,00-14,264
2021,2,00-14,298
2022,2,00-14,299
2023,2,00-14,315
2024,2,00-14,310
2015,1,15-29,1558
2016,1,15-29,1513
2017,1,15-29,1487
2018,1,15-29,1433
2019,1,15-29,1543
2020,1,15-29,1449
2021,1,15-29,1528
2022,1,15-29,1456
2023,1,15-29,1488
2024,1,15-29,1460
2015,2,15-29,967
2016,2,15-29,966
2017,2,15-29,1085
2018,2,15-29,1027
2019,2,15-29,971
2020,2,15-29,1031
2021,2,15-29,993
2022,2,15-29,1025
2023,2,15-29,1025
2024,2,15-29,973
2015,1,30-44,2851
2016,1,30-44,2820
2017,1,30-44,2807
2018,1,30-44,2775
2019,1,30-44,2810
2020,1,30-44,2853
2021,1,30-44,2742
2022,1,30-44,2786
2023,1,30-44,2734
2024,1,30-44,2647
2015,2,30-44,1966
2016,2,30-44,1960
2017,2,30-44,1926
2018,2,30-44,1967
2019,2,30-44,1917
2020,2,30-44,1935
2021,2,30-44,1888
2022,2,30-44,1914
2023,2,30-44,1862
2024,2,30-44,1889
2015,1,45-64,12871
2016,1,45-64,12661
2017,1,45-64,12578
2018,1,45-64,12618
2019,1,45-64,12613
2020,1,45-64,12440
2021,1,45-64,12388
2022,1,45-64,12198
2023,1,45-64,12108
2024,1,45-64,12060
2015,2,45-64,8660
2016,2,45-64,8834
2017,2,45-64,8637
2018,2,45-64,8566
2019,2,45-64,8373
2020,2,45-64,8600
2021,2,45-64,8563
2022,2,45-64,8286
2023,2,45-64,8101
2024,2,45-64,8187
2015,1,65+,54669
2016,1,65+,55781
2017,1,65+,56808
2018,1,65+,57863
2019,1,65+,59438
2020,1,65+,60148
2021,1,65+,61534
2022,1,65+,62902
2023,1,65+,63614
2024,1,65+,65118
2015,2,65+,37200
2016,2,65+,37892
2017,2,65+,38574
2018,2,65+,39636
2019,2,65+,40130
2020,2,65+,40694
2021,2,65+,41474
2022,2,65+,42544
2023,2,65+,43875
2024,2,65+,44061
