anio,sexo,grupo_edad,poblacion
2015,1,00-14,1850000
2016,1,00-14,1853700
2017,1,00-14,1857407
2018,1,00-14,1861122
2019,1,00-14,1864844
2020,1,00-14,1868574
2021,1,00-14,1872311
2022,1,00-14,1876056
2023,1,00-14,1879808
2024,1,00-14,1883568
2015,2,00-14,1850000
2016,2,00-14,1853700
2017,2,00-14,1857407
2018,2,00-14,1861122
2019,2,00-14,1864844
2020,2,00-14,1868574
2021,2,00-14,1872311
2022,2,00-14,1876056
2023,2,00-14,1879808
2024,2,00-14,1883568
2015,1,15-29,2050000
2016,1,15-29,2054100
2017,1,15-29,2058208
2018,1,15-29,2062325
2019,1,15-29,2066449
2020,1,15-29,2070582
2021,1,15-29,2074723
2022,1,15-29,2078873
2023,1,15-29,2083031
2024,1,15-29,2087197
2015,2,15-29,2050000
2016,2,15-29,2054100
2017,2,15-29,2058208
2018,2,15-29,2062325
2019,2,15-29,2066449
2020,2,15-29,2070582
2021,2,15-29,2074723
2022,2,15-29,2078873
2023,2,15-29,2083031
2024,2,15-29,2087197
2015,1,30-44,1950000
2016,1,30-44,1953900
2017,1,30-44,1957808
2018,1,30-44,1961723
2019,1,30-44,1965647
2020,1,30-44,1969578
2021,1,30-44,1973517
2022,1,30-44,1977464
2023,1,30-44,1981419
2024,1,30-44,1985382
2015,2,30-44,1950000
2016,2,30-44,1953900
2017,2,30-44,1957808
2018,2,30-44,1961723
2019,2,30-44,1965647
2020,2,30-44,1969578
2021,2,30-44,1973517
2022,2,30-44,1977464
2023,2,30-44,1981419
2024,2,30-44,1985382
2015,1,45-64,2300000
2016,1,45-64,2304600
2017,1,45-64,2309209
2018,1,45-64,2313828
2019,1,45-64,2318455
2020,1,45-64,2323092
2021,1,45-64,2327738
2022,1,45-64,2332394
2023,1,45-64,2337059
2024,1,45-64,2341733
2015,2,45-64,2300000
2016,2,45-64,2304600
2017,2,45-64,2309209
2018,2,45-64,2313828
2019,2,45-64,2318455
2020,2,45-64,2323092
2021,2,45-64,2327738
2022,2,45-64,2332394
2023,2,45-64,2337059
2024,2,45-64,2341733
2015,1,65+,1150000
2016,1,65+,1184500
2017,1,65+,1220035
2018,1,65+,1256636
2019,1,65+,1294335
2020,1,65+,1333165
2021,1,65+,1373160
2022,1,65+,1414355
2023,1,65+,1456786
2024,1,65+,1500489
2015,2,65+,1150000
2016,2,65+,1184500
2017,2,65+,1220035
2018,2,65+,1256636
2019,2,65+,1294335
2020,2,65+,1333165
2021,2,65+,1373160
2022,2,65+,1414355
2023,2,65+,1456786
2024,2,65+,1500489
